"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-05-09,"0.025",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.1",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.25",8,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.5",20,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.75",32,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.9",54,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.975",100,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.25",2,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.5",20,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.75",42,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.9",74,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.975",129,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-23,"0.025",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.1",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.25",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.5",20,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.75",50,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.9",90,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.975",168,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-30,"0.025",0,2026-05-09,"wk inc covid hosp",3,"quantile"
"Central",2026-05-30,"0.1",0,2026-05-09,"wk inc covid hosp",3,"quantile"
"Central",2026-05-30,"0.25",0,2026-05-09,"wk inc covid hosp",3,"quantile"
"Central",2026-05-30,"0.5",20,2026-05-09,"wk inc covid hosp",3,"quantile"
"Central",2026-05-30,"0.75",57,2026-05-09,"wk inc covid hosp",3,"quantile"
"Central",2026-05-30,"0.9",103,2026-05-09,"wk inc covid hosp",3,"quantile"
"Central",2026-05-30,"0.975",195,2026-05-09,"wk inc covid hosp",3,"quantile"
"East",2026-05-09,"0.025",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.1",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.25",6,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.5",15,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.75",24,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.9",39,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.975",76,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.25",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.5",15,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.75",32,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.9",59,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.975",100,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-23,"0.025",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"East",2026-05-23,"0.1",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"East",2026-05-23,"0.25",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"East",2026-05-23,"0.5",15,2026-05-09,"wk inc covid hosp",2,"quantile"
"East",2026-05-23,"0.75",39,2026-05-09,"wk inc covid hosp",2,"quantile"
"East",2026-05-23,"0.9",70,2026-05-09,"wk inc covid hosp",2,"quantile"
"East",2026-05-23,"0.975",121,2026-05-09,"wk inc covid hosp",2,"quantile"
"East",2026-05-30,"0.025",0,2026-05-09,"wk inc covid hosp",3,"quantile"
"East",2026-05-30,"0.1",0,2026-05-09,"wk inc covid hosp",3,"quantile"
"East",2026-05-30,"0.25",0,2026-05-09,"wk inc covid hosp",3,"quantile"
"East",2026-05-30,"0.5",15,2026-05-09,"wk inc covid hosp",3,"quantile"
"East",2026-05-30,"0.75",45,2026-05-09,"wk inc covid hosp",3,"quantile"
"East",2026-05-30,"0.9",80,2026-05-09,"wk inc covid hosp",3,"quantile"
"East",2026-05-30,"0.975",140,2026-05-09,"wk inc covid hosp",3,"quantile"
"North East",2026-05-09,"0.025",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.1",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.25",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.5",2,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.75",6,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.9",12,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.975",26,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.25",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.5",2,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.75",8,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.9",18,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.975",33,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-23,"0.025",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"North East",2026-05-23,"0.1",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"North East",2026-05-23,"0.25",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"North East",2026-05-23,"0.5",2,2026-05-09,"wk inc covid hosp",2,"quantile"
"North East",2026-05-23,"0.75",11,2026-05-09,"wk inc covid hosp",2,"quantile"
"North East",2026-05-23,"0.9",23,2026-05-09,"wk inc covid hosp",2,"quantile"
"North East",2026-05-23,"0.975",38,2026-05-09,"wk inc covid hosp",2,"quantile"
"North East",2026-05-30,"0.025",0,2026-05-09,"wk inc covid hosp",3,"quantile"
