"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-05-02,"0.025",0,2026-05-02,"wk inc covid hosp",0,"quantile"
"Central",2026-05-02,"0.1",0,2026-05-02,"wk inc covid hosp",0,"quantile"
"Central",2026-05-02,"0.25",8,2026-05-02,"wk inc covid hosp",0,"quantile"
"Central",2026-05-02,"0.5",20,2026-05-02,"wk inc covid hosp",0,"quantile"
"Central",2026-05-02,"0.75",32,2026-05-02,"wk inc covid hosp",0,"quantile"
"Central",2026-05-02,"0.9",54,2026-05-02,"wk inc covid hosp",0,"quantile"
"Central",2026-05-02,"0.975",100,2026-05-02,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.025",0,2026-05-02,"wk inc covid hosp",1,"quantile"
"Central",2026-05-09,"0.1",0,2026-05-02,"wk inc covid hosp",1,"quantile"
"Central",2026-05-09,"0.25",2,2026-05-02,"wk inc covid hosp",1,"quantile"
"Central",2026-05-09,"0.5",20,2026-05-02,"wk inc covid hosp",1,"quantile"
"Central",2026-05-09,"0.75",42,2026-05-02,"wk inc covid hosp",1,"quantile"
"Central",2026-05-09,"0.9",74,2026-05-02,"wk inc covid hosp",1,"quantile"
"Central",2026-05-09,"0.975",130,2026-05-02,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.025",0,2026-05-02,"wk inc covid hosp",2,"quantile"
"Central",2026-05-16,"0.1",0,2026-05-02,"wk inc covid hosp",2,"quantile"
"Central",2026-05-16,"0.25",0,2026-05-02,"wk inc covid hosp",2,"quantile"
"Central",2026-05-16,"0.5",20,2026-05-02,"wk inc covid hosp",2,"quantile"
"Central",2026-05-16,"0.75",50,2026-05-02,"wk inc covid hosp",2,"quantile"
"Central",2026-05-16,"0.9",90,2026-05-02,"wk inc covid hosp",2,"quantile"
"Central",2026-05-16,"0.975",168,2026-05-02,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.025",0,2026-05-02,"wk inc covid hosp",3,"quantile"
"Central",2026-05-23,"0.1",0,2026-05-02,"wk inc covid hosp",3,"quantile"
"Central",2026-05-23,"0.25",0,2026-05-02,"wk inc covid hosp",3,"quantile"
