"location","target_end_date","output_type_id","value","reference_date","target","horizon","output_type"
"Central",2026-05-09,"0.025",20,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.1",20,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.25",20,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.5",20,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.75",21,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.9",21,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-09,"0.975",21,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.025",15,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.1",15,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.25",15,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.5",15,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.75",16,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.9",16,2026-05-09,"wk inc covid hosp",0,"quantile"
"East",2026-05-09,"0.975",16,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.025",2,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.1",2,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.25",2,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.5",2,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.75",3,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.9",3,2026-05-09,"wk inc covid hosp",0,"quantile"
"North East",2026-05-09,"0.975",3,2026-05-09,"wk inc covid hosp",0,"quantile"
"North West",2026-05-09,"0.025",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"North West",2026-05-09,"0.1",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"North West",2026-05-09,"0.25",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"North West",2026-05-09,"0.5",0,2026-05-09,"wk inc covid hosp",0,"quantile"
"North West",2026-05-09,"0.75",1,2026-05-09,"wk inc covid hosp",0,"quantile"
"North West",2026-05-09,"0.9",1,2026-05-09,"wk inc covid hosp",0,"quantile"
"North West",2026-05-09,"0.975",1,2026-05-09,"wk inc covid hosp",0,"quantile"
"Ontario",2026-05-09,"0.025",73,2026-05-09,"wk inc covid hosp",0,"quantile"
"Ontario",2026-05-09,"0.1",73,2026-05-09,"wk inc covid hosp",0,"quantile"
"Ontario",2026-05-09,"0.25",73,2026-05-09,"wk inc covid hosp",0,"quantile"
"Ontario",2026-05-09,"0.5",73,2026-05-09,"wk inc covid hosp",0,"quantile"
"Ontario",2026-05-09,"0.75",74,2026-05-09,"wk inc covid hosp",0,"quantile"
"Ontario",2026-05-09,"0.9",74,2026-05-09,"wk inc covid hosp",0,"quantile"
"Ontario",2026-05-09,"0.975",74,2026-05-09,"wk inc covid hosp",0,"quantile"
"Toronto",2026-05-09,"0.025",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"Toronto",2026-05-09,"0.1",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"Toronto",2026-05-09,"0.25",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"Toronto",2026-05-09,"0.5",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"Toronto",2026-05-09,"0.75",19,2026-05-09,"wk inc covid hosp",0,"quantile"
"Toronto",2026-05-09,"0.9",19,2026-05-09,"wk inc covid hosp",0,"quantile"
"Toronto",2026-05-09,"0.975",19,2026-05-09,"wk inc covid hosp",0,"quantile"
"West",2026-05-09,"0.025",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"West",2026-05-09,"0.1",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"West",2026-05-09,"0.25",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"West",2026-05-09,"0.5",18,2026-05-09,"wk inc covid hosp",0,"quantile"
"West",2026-05-09,"0.75",19,2026-05-09,"wk inc covid hosp",0,"quantile"
"West",2026-05-09,"0.9",19,2026-05-09,"wk inc covid hosp",0,"quantile"
"West",2026-05-09,"0.975",19,2026-05-09,"wk inc covid hosp",0,"quantile"
"Central",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.1",1,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.25",20,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.5",30,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.75",41,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.9",60,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-16,"0.975",102,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.25",8,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.5",19,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.75",29,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.9",48,2026-05-09,"wk inc covid hosp",1,"quantile"
"East",2026-05-16,"0.975",90,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.25",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.5",6,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.75",16,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.9",35,2026-05-09,"wk inc covid hosp",1,"quantile"
"North East",2026-05-16,"0.975",77,2026-05-09,"wk inc covid hosp",1,"quantile"
"North West",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North West",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North West",2026-05-16,"0.25",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"North West",2026-05-16,"0.5",5,2026-05-09,"wk inc covid hosp",1,"quantile"
"North West",2026-05-16,"0.75",15,2026-05-09,"wk inc covid hosp",1,"quantile"
"North West",2026-05-16,"0.9",34,2026-05-09,"wk inc covid hosp",1,"quantile"
"North West",2026-05-16,"0.975",76,2026-05-09,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-16,"0.1",33,2026-05-09,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-16,"0.25",52,2026-05-09,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-16,"0.5",63,2026-05-09,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-16,"0.75",73,2026-05-09,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-16,"0.9",92,2026-05-09,"wk inc covid hosp",1,"quantile"
"Ontario",2026-05-16,"0.975",134,2026-05-09,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-16,"0.25",4,2026-05-09,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-16,"0.5",15,2026-05-09,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-16,"0.75",25,2026-05-09,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-16,"0.9",44,2026-05-09,"wk inc covid hosp",1,"quantile"
"Toronto",2026-05-16,"0.975",86,2026-05-09,"wk inc covid hosp",1,"quantile"
"West",2026-05-16,"0.025",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"West",2026-05-16,"0.1",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"West",2026-05-16,"0.25",0,2026-05-09,"wk inc covid hosp",1,"quantile"
"West",2026-05-16,"0.5",11,2026-05-09,"wk inc covid hosp",1,"quantile"
"West",2026-05-16,"0.75",21,2026-05-09,"wk inc covid hosp",1,"quantile"
"West",2026-05-16,"0.9",40,2026-05-09,"wk inc covid hosp",1,"quantile"
"West",2026-05-16,"0.975",82,2026-05-09,"wk inc covid hosp",1,"quantile"
"Central",2026-05-23,"0.025",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.1",0,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.25",25,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.5",45,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.75",66,2026-05-09,"wk inc covid hosp",2,"quantile"
"Central",2026-05-23,"0.9",102,2026-05-09,"wk inc covid hosp",2,"quantile"
