"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2026-04-04","2026-04-11","wk inc covid hosp",-1,"quantile",0.025,44
"Central","2026-04-04","2026-04-11","wk inc covid hosp",-1,"quantile",0.1,48.3333333333333
"Central","2026-04-04","2026-04-11","wk inc covid hosp",-1,"quantile",0.25,52
"Central","2026-04-04","2026-04-11","wk inc covid hosp",-1,"quantile",0.5,57.3333333333333
"Central","2026-04-04","2026-04-11","wk inc covid hosp",-1,"quantile",0.75,62.6666666666667
"Central","2026-04-04","2026-04-11","wk inc covid hosp",-1,"quantile",0.9,66.3333333333333
"Central","2026-04-04","2026-04-11","wk inc covid hosp",-1,"quantile",0.975,71.3333333333333
"Central","2026-04-04","2026-04-11","wk inc flu hosp",-1,"quantile",0.025,1.66666666666667
"Central","2026-04-04","2026-04-11","wk inc flu hosp",-1,"quantile",0.1,2
"Central","2026-04-04","2026-04-11","wk inc flu hosp",-1,"quantile",0.25,2
"Central","2026-04-04","2026-04-11","wk inc flu hosp",-1,"quantile",0.5,6.66666666666667
"Central","2026-04-04","2026-04-11","wk inc flu hosp",-1,"quantile",0.75,27.3333333333333
"Central","2026-04-04","2026-04-11","wk inc flu hosp",-1,"quantile",0.9,48.3333333333333
"Central","2026-04-04","2026-04-11","wk inc flu hosp",-1,"quantile",0.975,70.3333333333333
"Central","2026-04-04","2026-04-11","wk inc rsv hosp",-1,"quantile",0.025,10
"Central","2026-04-04","2026-04-11","wk inc rsv hosp",-1,"quantile",0.1,12.6666666666667
"Central","2026-04-04","2026-04-11","wk inc rsv hosp",-1,"quantile",0.25,15
"Central","2026-04-04","2026-04-11","wk inc rsv hosp",-1,"quantile",0.5,18
"Central","2026-04-04","2026-04-11","wk inc rsv hosp",-1,"quantile",0.75,21
"Central","2026-04-04","2026-04-11","wk inc rsv hosp",-1,"quantile",0.9,23.3333333333333
"Central","2026-04-04","2026-04-11","wk inc rsv hosp",-1,"quantile",0.975,26
"Central","2026-04-11","2026-04-11","wk inc covid hosp",0,"quantile",0.025,35.4285714285714
"Central","2026-04-11","2026-04-11","wk inc covid hosp",0,"quantile",0.1,43.4285714285714
"Central","2026-04-11","2026-04-11","wk inc covid hosp",0,"quantile",0.25,50.1428571428571
"Central","2026-04-11","2026-04-11","wk inc covid hosp",0,"quantile",0.5,55.4285714285714
"Central","2026-04-11","2026-04-11","wk inc covid hosp",0,"quantile",0.75,60.7142857142857
"Central","2026-04-11","2026-04-11","wk inc covid hosp",0,"quantile",0.9,68
"Central","2026-04-11","2026-04-11","wk inc covid hosp",0,"quantile",0.975,80
"Central","2026-04-11","2026-04-11","wk inc flu hosp",0,"quantile",0.025,2
"Central","2026-04-11","2026-04-11","wk inc flu hosp",0,"quantile",0.1,3.14285714285714
"Central","2026-04-11","2026-04-11","wk inc flu hosp",0,"quantile",0.25,4.28571428571429
"Central","2026-04-11","2026-04-11","wk inc flu hosp",0,"quantile",0.5,6
"Central","2026-04-11","2026-04-11","wk inc flu hosp",0,"quantile",0.75,21.4285714285714
"Central","2026-04-11","2026-04-11","wk inc flu hosp",0,"quantile",0.9,39.7142857142857
"Central","2026-04-11","2026-04-11","wk inc flu hosp",0,"quantile",0.975,73.5714285714286
"Central","2026-04-11","2026-04-11","wk inc rsv hosp",0,"quantile",0.025,9.85714285714286
"Central","2026-04-11","2026-04-11","wk inc rsv hosp",0,"quantile",0.1,13.4285714285714
"Central","2026-04-11","2026-04-11","wk inc rsv hosp",0,"quantile",0.25,15
"Central","2026-04-11","2026-04-11","wk inc rsv hosp",0,"quantile",0.5,17.1428571428571
"Central","2026-04-11","2026-04-11","wk inc rsv hosp",0,"quantile",0.75,18.7142857142857
"Central","2026-04-11","2026-04-11","wk inc rsv hosp",0,"quantile",0.9,20.4285714285714
"Central","2026-04-11","2026-04-11","wk inc rsv hosp",0,"quantile",0.975,23.1428571428571
"Central","2026-04-18","2026-04-11","wk inc covid hosp",1,"quantile",0.025,16
"Central","2026-04-18","2026-04-11","wk inc covid hosp",1,"quantile",0.1,34.8571428571429
"Central","2026-04-18","2026-04-11","wk inc covid hosp",1,"quantile",0.25,51
"Central","2026-04-18","2026-04-11","wk inc covid hosp",1,"quantile",0.5,61
"Central","2026-04-18","2026-04-11","wk inc covid hosp",1,"quantile",0.75,71.8571428571429
"Central","2026-04-18","2026-04-11","wk inc covid hosp",1,"quantile",0.9,88.7142857142857
"Central","2026-04-18","2026-04-11","wk inc covid hosp",1,"quantile",0.975,123.857142857143
"Central","2026-04-18","2026-04-11","wk inc flu hosp",1,"quantile",0.025,0
"Central","2026-04-18","2026-04-11","wk inc flu hosp",1,"quantile",0.1,0.428571428571429
"Central","2026-04-18","2026-04-11","wk inc flu hosp",1,"quantile",0.25,2.71428571428571
"Central","2026-04-18","2026-04-11","wk inc flu hosp",1,"quantile",0.5,6.42857142857143
"Central","2026-04-18","2026-04-11","wk inc flu hosp",1,"quantile",0.75,22.1428571428571
"Central","2026-04-18","2026-04-11","wk inc flu hosp",1,"quantile",0.9,42.7142857142857
"Central","2026-04-18","2026-04-11","wk inc flu hosp",1,"quantile",0.975,90.4285714285714
"Central","2026-04-18","2026-04-11","wk inc rsv hosp",1,"quantile",0.025,1.57142857142857
"Central","2026-04-18","2026-04-11","wk inc rsv hosp",1,"quantile",0.1,9.42857142857143
"Central","2026-04-18","2026-04-11","wk inc rsv hosp",1,"quantile",0.25,13.2857142857143
