"location","target_end_date","reference_date","target","horizon","output_type","output_type_id","value"
"Central","2026-04-25","2026-05-02","wk inc covid hosp",-1,"quantile",0.025,6
"Central","2026-04-25","2026-05-02","wk inc covid hosp",-1,"quantile",0.1,10.6666666666667
"Central","2026-04-25","2026-05-02","wk inc covid hosp",-1,"quantile",0.25,15.6666666666667
"Central","2026-04-25","2026-05-02","wk inc covid hosp",-1,"quantile",0.5,20
"Central","2026-04-25","2026-05-02","wk inc covid hosp",-1,"quantile",0.75,25
"Central","2026-04-25","2026-05-02","wk inc covid hosp",-1,"quantile",0.9,29.3333333333333
"Central","2026-04-25","2026-05-02","wk inc covid hosp",-1,"quantile",0.975,32.6666666666667
"Central","2026-04-25","2026-05-02","wk inc flu hosp",-1,"quantile",0.025,1
"Central","2026-04-25","2026-05-02","wk inc flu hosp",-1,"quantile",0.1,1.33333333333333
"Central","2026-04-25","2026-05-02","wk inc flu hosp",-1,"quantile",0.25,1.33333333333333
"Central","2026-04-25","2026-05-02","wk inc flu hosp",-1,"quantile",0.5,5
"Central","2026-04-25","2026-05-02","wk inc flu hosp",-1,"quantile",0.75,22.6666666666667
"Central","2026-04-25","2026-05-02","wk inc flu hosp",-1,"quantile",0.9,42
"Central","2026-04-25","2026-05-02","wk inc flu hosp",-1,"quantile",0.975,59
"Central","2026-04-25","2026-05-02","wk inc rsv hosp",-1,"quantile",0.025,3.33333333333333
"Central","2026-04-25","2026-05-02","wk inc rsv hosp",-1,"quantile",0.1,6.33333333333333
"Central","2026-04-25","2026-05-02","wk inc rsv hosp",-1,"quantile",0.25,9
"Central","2026-04-25","2026-05-02","wk inc rsv hosp",-1,"quantile",0.5,12
"Central","2026-04-25","2026-05-02","wk inc rsv hosp",-1,"quantile",0.75,15
"Central","2026-04-25","2026-05-02","wk inc rsv hosp",-1,"quantile",0.9,17
"Central","2026-04-25","2026-05-02","wk inc rsv hosp",-1,"quantile",0.975,20
"Central","2026-05-02","2026-05-02","wk inc covid hosp",0,"quantile",0.025,7.42857142857143
"Central","2026-05-02","2026-05-02","wk inc covid hosp",0,"quantile",0.1,11.8571428571429
"Central","2026-05-02","2026-05-02","wk inc covid hosp",0,"quantile",0.25,15.8571428571429
"Central","2026-05-02","2026-05-02","wk inc covid hosp",0,"quantile",0.5,20.5714285714286
"Central","2026-05-02","2026-05-02","wk inc covid hosp",0,"quantile",0.75,25.1428571428571
"Central","2026-05-02","2026-05-02","wk inc covid hosp",0,"quantile",0.9,31.4285714285714
"Central","2026-05-02","2026-05-02","wk inc covid hosp",0,"quantile",0.975,42.5714285714286
"Central","2026-05-02","2026-05-02","wk inc flu hosp",0,"quantile",0.025,1.28571428571429
"Central","2026-05-02","2026-05-02","wk inc flu hosp",0,"quantile",0.1,1.85714285714286
"Central","2026-05-02","2026-05-02","wk inc flu hosp",0,"quantile",0.25,2.71428571428571
"Central","2026-05-02","2026-05-02","wk inc flu hosp",0,"quantile",0.5,4.14285714285714
"Central","2026-05-02","2026-05-02","wk inc flu hosp",0,"quantile",0.75,11.8571428571429
"Central","2026-05-02","2026-05-02","wk inc flu hosp",0,"quantile",0.9,21.1428571428571
"Central","2026-05-02","2026-05-02","wk inc flu hosp",0,"quantile",0.975,35.5714285714286
"Central","2026-05-02","2026-05-02","wk inc rsv hosp",0,"quantile",0.025,5.28571428571429
"Central","2026-05-02","2026-05-02","wk inc rsv hosp",0,"quantile",0.1,8.42857142857143
"Central","2026-05-02","2026-05-02","wk inc rsv hosp",0,"quantile",0.25,10.1428571428571
"Central","2026-05-02","2026-05-02","wk inc rsv hosp",0,"quantile",0.5,11.5714285714286
"Central","2026-05-02","2026-05-02","wk inc rsv hosp",0,"quantile",0.75,13
"Central","2026-05-02","2026-05-02","wk inc rsv hosp",0,"quantile",0.9,14.7142857142857
"Central","2026-05-02","2026-05-02","wk inc rsv hosp",0,"quantile",0.975,17.1428571428571
"Central","2026-05-09","2026-05-02","wk inc covid hosp",1,"quantile",0.025,0
"Central","2026-05-09","2026-05-02","wk inc covid hosp",1,"quantile",0.1,3.14285714285714
"Central","2026-05-09","2026-05-02","wk inc covid hosp",1,"quantile",0.25,10.5714285714286
"Central","2026-05-09","2026-05-02","wk inc covid hosp",1,"quantile",0.5,20
"Central","2026-05-09","2026-05-02","wk inc covid hosp",1,"quantile",0.75,29
"Central","2026-05-09","2026-05-02","wk inc covid hosp",1,"quantile",0.9,44.1428571428571
"Central","2026-05-09","2026-05-02","wk inc covid hosp",1,"quantile",0.975,77.5714285714286
"Central","2026-05-09","2026-05-02","wk inc flu hosp",1,"quantile",0.025,0
"Central","2026-05-09","2026-05-02","wk inc flu hosp",1,"quantile",0.1,0.142857142857143
"Central","2026-05-09","2026-05-02","wk inc flu hosp",1,"quantile",0.25,1.14285714285714
"Central","2026-05-09","2026-05-02","wk inc flu hosp",1,"quantile",0.5,4
"Central","2026-05-09","2026-05-02","wk inc flu hosp",1,"quantile",0.75,11.8571428571429
"Central","2026-05-09","2026-05-02","wk inc flu hosp",1,"quantile",0.9,23.5714285714286
